Trial,Reaction_Time,Response,Coherence,Direction,Radius,Theta
0,1.209953,False,0.5,right,2.167186,228.7409
1,0.7893791,False,0.5,down,2.022362,231.6237
2,1.000961,True,0.5,right,4.67504,354.3858
3,1.546738,False,0.5,up,2.039109,261.1057
4,0.9777451,True,0.5,down,3.724809,49.00825
5,1.002083,False,0.5,right,0.4685354,350.5176
6,0.8897858,False,0.5,left,4.634819,195.4827
7,0.8897171,True,0.5,up,0.9491807,280.369
8,0.5891953,False,0.5,left,4.460773,143.0703
9,1.223656,True,0.5,down,0.5306494,35.90633
10,0.9025803,True,0.5,down,1.757353,92.50568
11,0.8806763,False,0.5,left,4.512958,158.2652
12,1.045502,False,0.5,right,3.321823,251.3994
13,0.8578568,False,0.5,down,0.5528951,192.1053
14,0.7449341,False,0.5,right,3.027268,359.2153
15,2.012642,False,0.5,down,4.067092,304.3806
16,2.312889,False,0.5,down,1.639772,36.3287
17,0.8679123,False,0.5,left,0.8283663,169.0374
18,5.79055,False,0.5,left,0.7171166,117.3768
19,0.7336121,False,0.5,right,2.183196,135.9511
20,1.190994,False,0.5,left,2.005249,148.1629
21,0.8671799,True,0.5,up,1.999016,221.8786
22,0.9492722,True,0.5,up,4.862649,258.5531
23,0.901474,False,0.5,left,4.882749,213.1385
24,1.413315,False,0.5,right,2.139921,83.31705
25,0.6347198,True,0.5,up,3.295066,212.9635
26,1.446098,False,0.5,right,1.153277,19.29959
27,0.7676468,True,0.5,down,4.776068,290.2275
28,1.121887,False,0.5,right,3.105042,23.52237
29,1.514511,False,0.5,right,4.283912,185.1958
30,1.210999,False,0.5,left,3.83782,74.25149
31,0.8462448,False,0.5,right,1.434229,23.98697
32,0.7884521,True,0.5,up,1.503558,276.6809
33,0.7337646,True,0.5,down,4.205521,15.01762
34,1.568169,True,0.5,up,3.326685,287.59
35,0.7122498,True,0.5,down,3.114317,265.3929
36,1.112267,True,0.5,up,4.938251,275.086
37,0.7681198,False,0.5,left,3.418441,332.648
38,1.091141,False,0.5,left,4.472682,204.8441
39,2.71315,True,0.5,left,1.842231,246.0791
40,1.179855,False,0.5,left,1.203541,157.5602
41,3.83493,False,0.5,left,0.5175096,6.200581
42,1.28894,False,0.5,left,2.272312,4.185619
43,0.9564819,False,0.5,right,1.340133,13.76664
44,0.7790375,False,0.5,right,4.89201,328.6635
45,0.879303,True,0.5,down,0.3068084,171.8167
46,0.6695709,True,0.5,up,4.046976,122.6819
47,2.211929,False,0.5,down,1.271365,173.1251
48,0.7771759,True,0.5,up,0.009118915,227.2367
49,0.7570801,True,0.5,down,1.122694,127.0552
50,0.6963043,True,0.5,up,4.192741,329.5662
51,1.302689,True,0.5,up,4.76145,176.5046
52,1.202713,True,0.5,up,3.674403,8.4587
53,9.396042,False,0.5,left,0.1059473,255.7146
54,0.7010803,True,0.5,up,2.856585,96.38424
55,0.5445099,True,0.5,down,1.48068,177.6416
56,0.5775146,False,0.5,left,2.30561,201.1931
57,2.880005,False,0.5,left,1.274897,276.5722
58,0.7987976,False,0.5,left,2.078318,328.9536
59,0.9901733,True,0.5,down,2.75905,175.8737
60,0.6579285,False,0.5,right,3.910514,123.9396
61,2.611023,False,0.5,right,4.465733,317.6905
62,1.025497,True,0.5,down,1.731062,95.44053
63,0.6375275,False,0.5,right,0.4575557,344.9888
64,0.6570282,False,0.5,right,4.655883,216.956
65,2.779236,False,0.5,left,0.613395,298.2397
66,0.6772308,False,0.5,left,0.06074905,344.1906
67,0.557724,True,0.5,up,1.672452,126.4841
68,0.9808807,False,0.5,right,1.449309,243.239
69,2.123596,False,0.5,left,1.999588,81.13858
70,0.6249084,False,0.5,right,1.07981,210.2657
71,0.9786377,False,0.5,left,4.891913,65.96706
72,0.7664032,True,0.5,down,3.604859,67.83204
73,0.6694183,True,0.5,left,0.9409505,279.947
74,0.6238251,False,0.5,right,1.02132,118.3011
75,0.7671356,False,0.5,right,4.990831,173.898
76,0.7688141,False,0.5,left,2.882478,357.6681
77,1.087494,True,0.5,up,3.29226,350.819
78,0.8556671,True,0.5,up,2.039243,293.4681
79,1.032333,True,0.5,down,0.7714176,60.76478
80,2.248444,True,0.5,down,0.4378706,156.6229
81,0.7444763,False,0.5,left,4.919312,145.5114
82,2.179932,True,0.5,down,3.952299,236.2449
83,2.933044,False,0.5,left,1.276931,349.8413
84,0.689743,False,0.5,right,2.269078,309.424
85,0.8665771,False,0.5,left,3.570988,192.0417
86,2.034912,True,0.5,left,2.999544,263.3271
87,0.5809631,True,0.5,up,1.947742,237.9125
88,0.6670227,True,0.5,down,4.564175,249.6238
89,1.04126,True,0.5,up,4.825454,116.6129
90,1.013443,False,0.5,right,4.972529,102.1721
91,0.7801361,False,0.5,right,4.81119,134.1422
92,1.123123,False,0.5,left,4.275773,286.7699
93,0.8360138,False,0.5,left,3.987771,5.356092
94,0.8231506,False,0.5,right,4.46332,271.4532
95,0.6255646,True,0.5,up,2.649074,319.7759
96,0.8137054,False,0.5,left,2.049214,15.54093
97,0.8000183,False,0.5,right,3.740519,162.1481
98,0.9341431,True,0.5,down,1.779047,308.4651
99,0.6889801,False,0.5,left,0.05286336,34.76619
100,0.6008148,False,0.5,right,3.473211,34.26039
101,1.278366,False,0.5,right,3.305862,241.6586
102,2.125839,False,0.5,right,2.13957,236.8914
103,0.7126617,True,0.5,up,3.480234,252.1189
104,0.8690948,False,0.5,right,0.2296549,218.9986
105,0.7016907,True,0.5,up,1.295899,80.56206
106,0.5542603,False,0.5,right,4.426086,177.9018
107,2.64415,True,0.5,right,0.1680166,293.234
108,0.5105286,False,0.5,right,2.165798,198.7023
109,0.5674744,True,0.5,up,2.828182,278.9576
110,0.9008484,True,0.5,down,1.810319,287.1743
111,0.5782166,False,0.5,right,1.884373,41.31323
112,0.6681824,False,0.5,left,3.468286,92.86964
113,0.5467987,True,0.5,up,1.46545,102.2748
114,0.4894867,True,0.5,up,2.07165,140.9668
115,1.036316,True,0.5,left,4.861632,193.5693
116,1.574066,False,0.5,left,2.972903,209.645
117,1.625,False,0.5,down,3.306842,316.3729
118,8.190613,False,0.5,down,1.277065,16.79518
119,0.8018188,True,0.5,down,4.195893,104.653
120,1.166229,False,0.5,right,0.8497965,249.2281
121,0.5684814,False,0.5,right,1.109739,184.6479
122,0.9453125,False,0.5,left,0.8267564,24.83665
123,0.6986694,False,0.5,right,1.411552,45.06987
124,0.6551514,True,0.5,up,4.596406,161.1625
125,3.175293,False,0.5,up,4.693246,198.2433
126,1.08902,True,0.5,up,4.822425,174.7141
127,0.8341064,False,0.5,right,0.2613562,111.7647
128,0.6216125,False,0.5,right,0.2515763,23.4989
129,0.6454773,True,0.5,down,4.019576,215.3089
130,0.6894836,True,0.5,up,3.735843,110.5789
131,0.7108765,False,0.5,right,2.832002,275.5934
132,0.6340332,True,0.5,down,1.437607,297.1514
133,0.5666199,True,0.5,up,4.730117,50.62217
134,1.05423,True,0.5,up,0.758642,10.08974
135,0.5775146,False,0.5,right,1.290631,33.46388
136,0.8590698,True,0.5,up,3.70716,146.1422
137,0.9790649,True,0.5,up,4.088614,331.3026
138,1.035339,True,0.5,down,1.062864,106.5085
139,0.6676941,False,0.5,right,3.551784,305.649
140,4.521149,True,0.5,down,2.228451,181.8983
141,0.7693481,True,0.5,up,3.873111,251.0201
142,0.678772,False,0.5,right,4.866948,183.5572
143,4.823914,True,0.5,right,0.5362183,128.0738
144,0.6037903,False,0.5,right,2.267431,168.0973
145,0.6016235,True,0.5,up,2.80915,353.0434
146,0.8234558,True,0.5,down,3.332294,242.5316
147,1.814423,True,0.5,down,1.101595,5.986905
148,0.9576721,True,0.5,up,4.860104,126.1126
149,0.8120117,False,0.5,left,4.929179,31.08015
150,0.7650757,True,0.5,down,4.499921,289.8945
151,0.5999451,False,0.5,right,1.457219,231.6524
152,0.5436401,True,0.5,up,2.029056,283.2164
153,0.4902039,False,0.5,left,2.77424,126.1742
154,0.6638794,True,0.5,up,3.003317,349.8084
155,0.7324829,True,0.5,up,2.249013,233.8798
156,0.6230164,True,0.5,down,4.638696,143.3855
157,0.6578674,False,0.5,left,1.869245,330.4482
158,0.6984558,False,0.5,right,1.07263,320.5523
159,2.49176,True,0.5,down,3.517109,64.66806
160,0.8370056,False,0.5,left,0.001323819,217.5706
161,0.6888733,True,0.5,up,1.409259,52.77253
162,0.7240601,False,0.5,left,0.663653,251.0029
163,0.7324219,True,0.5,down,0.5719793,41.17066
164,0.5244446,False,0.5,left,1.707897,223.6697
165,1.011414,True,0.5,down,4.850897,341.8677
166,1.724213,True,0.5,up,4.467602,22.4455
167,1.764618,False,0.5,left,0.1911956,104.2167
168,0.5581055,False,0.5,left,1.723863,265.357
169,0.5557861,True,0.5,up,3.051952,80.73222
170,0.5137329,False,0.5,left,4.989526,66.02311
171,0.6680298,True,0.5,up,0.6710118,358.0582
172,0.6265259,False,0.5,right,3.128991,165.0826
173,1.570984,False,0.5,down,0.2622402,278.4747
174,0.5220032,False,0.5,right,4.440979,128.3539
175,0.6473083,True,0.5,up,2.883811,117.4042
176,0.5662231,False,0.5,left,2.727332,340.8577
177,1.622162,False,0.5,left,3.360307,303.6938
178,1.798615,True,0.5,down,2.278522,168.5671
179,0.8795776,False,0.5,right,1.752714,295.397
180,0.5558472,False,0.5,left,1.012768,223.8456
181,0.513855,True,0.5,up,2.838011,57.74612
182,1.835419,True,0.5,up,0.2605397,166.5149
183,0.5560913,True,0.5,down,4.119241,334.2834
184,0.778717,False,0.5,left,0.6996661,81.93265
185,0.5794067,False,0.5,left,2.848604,322.4467
186,0.6101685,True,0.5,up,2.46833,213.7951
187,2.45459,False,0.5,left,0.5941129,347.9631
188,0.5775757,False,0.5,right,0.8272326,228.0564
189,0.5791016,True,0.5,down,1.724633,197.5249
190,0.64505,True,0.5,up,3.034467,225.8095
191,0.6115723,True,0.5,up,0.09908676,239.1732
192,1.656067,True,0.5,down,0.544762,277.8768
193,0.6124268,False,0.5,right,0.2160668,253.4575
194,0.6338501,True,0.5,up,2.31723,204.594
195,0.8583984,False,0.5,right,4.349496,9.592996
196,1.887512,True,0.5,down,1.016685,351.0939
197,0.8794861,False,0.5,up,3.222358,163.7379
198,2.190552,True,0.5,down,3.030104,127.581
